fileName,phoneNumber
1,7033042261
1,7633901873
1,9135480610
1,7366970046
1,9525790906
1,9955317827
1,6280335367
1,7461816397
1,7488043938
1,8294497220
1,8294136845
1,9661108206
1,8969942931
1,7894139762
1,9162841266
1,8521311561
2,8757293994
2,8757293994
2,7808093245
2,8521311519
2,6611328858
2,2269813258
2,2269813259
2,8775862019
2,8775862017
2,2507116977
2,2507169782
2,2698132582
2,2698132577
2,3944163990
2,0687932725
2,8825219919
3,9552670957
3,2284538521
3,3835877078
3,5630176549
3,6160798354
3,3003197084
3,9202095255
3,1943895078
3,8547472562
3,8824952557
3,1308707973
3,7282943044
3,2515906043
3,0913926264
3,5794896968
3,9415754302
4,5884732392
4,8579875718
4,9063763102
4,3617913108
4,4320957025
4,4210993804
4,5370858183
4,9310756194
4,7495800310
4,4750900631
4,0843957081
4,0320758403
4,2910776681
4,6230754207
4,8012703368
4,4473950786
5,5874957213
5,1723776402
5,2428778304
5,1976910203
5,0390957695
5,6497916218
5,3663973529
5,6605570336
5,4619370614
5,7753950784
5,4600770084
5,3148725053
5,6761628110
5,2561778104
5,1490938185
5,0692952267
6,3062825260
6,3062952267
6,3047050965
6,9689661453
6,7175992180
6,1358228053
6,9018992280
6,1359507957
6,1485031964
6,9159576151
6,2318676031
6,0167320907
6,3159931435
6,5699738923
6,9754995252
6,0923474341
7,9725071727
7,0919965806
7,9808403547
7,9507481139
7,7079801216
7,9955660072
7,9507968119
7,9031204313
7,9715233646
7,2054545588
7,2289796419
7,3043032968
7,8093561628
7,8093561629
7,1173294568
7,2073259609
8,3347415609
8,5464937339
8,1994294459
8,1179905807
8,2092192188
8,7346742288
8,7346742290
8,0657165691
8,2835939933
8,4203345933
8,4203345950
8,7951312749
8,2026200244
8,0295256125
8,0195766024
8,8479704820
9,5291628194
9,3933462824
9,6916281494
9,3916281494
9,3620915453
9,5773903564
9,2828336829
9,0978302380
9,0279263017
9,0876346188
9,7341803234
9,6402074362
9,9938542370
9,3343144999
9,5579082825
9,2872906900
10,5488438651
10,2084457070
10,1217988340
10,1130778952
10,8718188676
10,6870259564
10,8674149572
10,2116778930
10,5254499128
10,4583419955
10,6624678294
10,9057397056
10,6495187575
10,9134786512
10,4850976540
10,0138877650
11,8225491352
11,6158786154
11,3979963105
11,2119798942
11,1219069678
11,9988658683
11,9798386317
11,9431891727
11,0618309409
11,3545472319
11,9733233507
11,8148974982
11,9814938970
11,2318867397
11,9893687957
11,6193525706
12,1830940746
12,3899094704
12,6057068993
12,1903428765
12,4476770756
12,2839317732
12,4863944887
12,3041088620
12,7469084620
12,6413887630
12,2617748003
12,1928620496
12,3058629925
12,4811091846
12,4491952357
12,4478582061
13,5267549789
13,7906260991
13,5267298552
13,1578989541
13,1862048837
13,7748861605
13,4785907277
13,0964142707
13,3668305796
13,3523052473
13,8331760306
13,3631091131
13,4791072191
13,2956800291
13,4157070212
13,0856205352
14,2977370075
14,7937300757
14,3725988830
14,4896976804
14,6699844322
14,8040655296
14,3176066395
14,2562199172
14,6004857274
14,9201997541
14,9306218877
14,5420117808
14,0531026200
14,4010239507
14,4014469525
14,3057649122
15,8754667779
15,8939218997
15,5950740146
15,8486960557
15,7542087746
15,9771760855
15,9199676678
15,9934931989
15,9199625195
15,9199747049
15,8809318227
15,7668125207
15,7390599507
15,2941211987
15,3668304987
15,7907109507
16,9210129262
16,6508649006
16,6052429545
16,4720882268
16,5177381789
16,8413775901
16,7210775901
16,7210725796
16,9813977180
16,0862872573
16,4989295295
16,2195349927
16,7191272212
16,0895469405
16,7479994398
16,8845968742
17,0639888292
17,1908248595
17,1285619631
17,4579488292
17,1908249931
17,5629327654
17,7882108210
17,4825259931
17,5629326290
17,2960497506
17,4404829486
17,4171887738
17,2225807627
17,3437631319
17,8758757085
17,4997328749
18,7986070240
18,1377294364
18,1776046091
18,2754646786
18,5154019070
18,4550554406
18,1757411315
18,4974417502
18,7088106827
18,2007121272
18,6004550575
18,0145648969
18,2976821073
18,2202620702
18,9989934763
18,9618916226
19,8062778191
19,6818943054
19,2368703329
19,6096906594
19,7363934769
19,6187781916
